stock_symbol,date,open,high,low,close,adj_close,volume
CSCO,04-01-2010,24.110001,24.84,24.01,24.690001,17.394129,59853700
CSCO,05-01-2010,24.6,24.73,24.379999,24.58,17.316635,45124500
CSCO,06-01-2010,24.540001,24.74,24.34,24.42,17.203917,35715700
CSCO,07-01-2010,24.299999,24.57,24.17,24.530001,17.28141,31531200
CSCO,08-01-2010,24.379999,24.700001,24.25,24.66,17.372995,39115900
CSCO,11-01-2010,24.639999,24.889999,24.41,24.59,17.323681,35852900
CSCO,12-01-2010,24.440001,24.5,24.08,24.200001,17.048929,35780400
CSCO,13-01-2010,24.280001,24.700001,24.200001,24.639999,17.358902,43683900
CSCO,14-01-2010,24.58,25.08,24.52,24.950001,17.577291,52302100
CSCO,15-01-2010,25,25.1,24.299999,24.4,17.189827,51648100
CSCO,19-01-2010,24.540001,24.879999,24.5,24.85,17.506847,37607500
CSCO,20-01-2010,24.620001,24.73,24.120001,24.41,17.196867,42125400
CSCO,21-01-2010,24.51,24.65,23.860001,23.98,16.893934,54767500
CSCO,22-01-2010,23.84,23.93,22.870001,22.969999,16.182384,70424300
CSCO,25-01-2010,23.1,23.18,22.74,22.99,16.196482,51288800
CSCO,26-01-2010,22.799999,23.200001,22.639999,22.9,16.133076,55312800
CSCO,27-01-2010,22.889999,23.26,22.76,23.15,16.309198,51802900
CSCO,28-01-2010,23.18,23.219999,22.35,22.52,15.865361,63620000
CSCO,29-01-2010,22.950001,23.129999,22.440001,22.469999,15.830134,73431900
CSCO,01-02-2010,22.65,22.940001,22.379999,22.73,16.013308,54386100
CSCO,02-02-2010,22.809999,23.110001,22.51,23.02,16.217611,54108900
CSCO,03-02-2010,23.16,23.25,22.85,23.07,16.252836,80035500
CSCO,04-02-2010,23.41,23.77,23.1,23.16,16.316248,126098600
CSCO,05-02-2010,23.299999,23.879999,23.16,23.700001,16.696674,99148600
CSCO,08-02-2010,23.780001,23.9,23.48,23.5,16.555773,69909000
CSCO,09-02-2010,23.799999,24,23.58,23.889999,16.830532,60331600
CSCO,10-02-2010,23.860001,24,23.620001,23.76,16.738945,50574100
CSCO,11-02-2010,23.67,23.99,23.540001,23.93,16.858713,42458500
CSCO,12-02-2010,23.719999,23.799999,23.51,23.76,16.738945,56455000
CSCO,16-02-2010,23.959999,24,23.799999,24,16.90802,46758200
CSCO,17-02-2010,23.99,24.09,23.74,24.07,16.957335,48505500
CSCO,18-02-2010,24.049999,24.360001,23.9,24.280001,17.105291,41154700
CSCO,19-02-2010,24.129999,24.379999,24.059999,24.360001,17.161644,38781900
CSCO,22-02-2010,24.389999,24.459999,24.15,24.299999,17.119373,31374800
CSCO,23-02-2010,24.16,24.23,23.83,24.049999,16.943249,36286000
CSCO,24-02-2010,24.09,24.450001,24.09,24.34,17.147554,33182100
CSCO,25-02-2010,24,24.389999,23.870001,24.33,17.140511,37112100
CSCO,26-02-2010,24.360001,24.459999,24.209999,24.33,17.140511,30719800
CSCO,01-03-2010,24.33,24.65,24.32,24.6,17.330721,41777800
CSCO,02-03-2010,24.66,24.75,24.440001,24.610001,17.337772,51403800
CSCO,03-03-2010,24.700001,24.93,24.6,24.84,17.499805,50693400
CSCO,04-03-2010,24.84,24.98,24.66,24.950001,17.577291,40262000
CSCO,05-03-2010,24.969999,25.24,24.92,25.209999,17.760469,57057100
CSCO,08-03-2010,25.309999,26.360001,25.26,26.129999,18.408609,116178200
CSCO,09-03-2010,26.33,26.48,25.700001,26.129999,18.408609,160887600
CSCO,10-03-2010,25.85,26.059999,25.75,25.870001,18.225441,69660800
CSCO,11-03-2010,25.790001,25.98,25.719999,25.969999,18.295889,37340500
CSCO,12-03-2010,26,26.030001,25.780001,25.879999,18.232481,31167200
CSCO,15-03-2010,25.76,26.09,25.74,26.08,18.37339,36759300
CSCO,16-03-2010,26.030001,26.34,26.01,26.15,18.422699,53887500
CSCO,17-03-2010,26.200001,26.4,26.18,26.26,18.500196,32456000
CSCO,18-03-2010,26.24,26.43,26.219999,26.34,18.556559,27088000
CSCO,19-03-2010,26.370001,26.440001,26.07,26.15,18.422699,55661800
CSCO,22-03-2010,25.92,26.379999,25.889999,26.280001,18.514288,31899500
CSCO,23-03-2010,26.190001,26.75,26.17,26.639999,18.767906,48863100
CSCO,24-03-2010,26.559999,26.620001,26.440001,26.450001,18.634052,35293400
