stock_symbol,date,open,high,low,close,adj_close,volume
IBM,04-01-2010,125.411087,127.122368,125.095604,126.625237,81.314735,6438444
IBM,05-01-2010,125.889099,126.051628,124.378586,125.095604,80.332451,7156104
IBM,06-01-2010,124.933075,125.707458,124.101341,124.282982,79.810623,5863144
IBM,07-01-2010,124.158699,124.521988,123.240921,123.852776,79.534355,6109268
IBM,08-01-2010,123.393883,125.162521,123.374763,125.095604,80.332451,4390271
IBM,11-01-2010,125.296364,125.296364,123.011475,123.785851,79.491371,5993998
IBM,12-01-2010,123.355644,125.554497,123.326958,124.770554,80.123688,8453249
IBM,13-01-2010,124.65583,125.353729,123.479927,124.502869,79.951813,6752348
IBM,14-01-2010,124.808792,126.873802,124.196938,126.491394,81.228783,7438943
IBM,15-01-2010,126.223709,127.045891,125.32505,125.984703,80.903419,8885142
IBM,19-01-2010,125.841301,128.346085,125.774376,128.240921,82.352303,14556345
IBM,20-01-2010,124.722755,125.382408,123.27916,124.521988,79.964096,15896585
IBM,21-01-2010,124.732315,124.942642,122.428299,123.326958,79.196678,10050596
IBM,22-01-2010,123.011475,123.221794,119.856598,119.980881,77.047943,10552676
IBM,25-01-2010,120.774376,121.309753,120.181641,120.573616,77.428574,6002471
IBM,26-01-2010,120.382408,122.131927,119.894836,120.219887,77.201416,7463524
IBM,27-01-2010,120.286804,121.376671,119.541107,120.774376,77.557495,9120283
IBM,28-01-2010,121.443596,121.453156,117.638626,118.307838,75.973564,10064821
IBM,29-01-2010,118.852776,119.502869,116.5392,117.007645,75.138626,12103475
IBM,01-02-2010,117.810707,119.45507,117.380501,119.187378,76.538361,7576073
IBM,02-02-2010,119.302101,120.277245,118.499046,120.00956,77.066368,6171295
IBM,03-02-2010,119.65583,120.52581,119.569794,120.133842,77.146156,4369247
IBM,04-02-2010,119.684509,119.923515,117.495216,117.59082,75.513115,9546737
IBM,05-02-2010,117.629066,118.27916,116.472275,118.087952,75.832375,9013382
IBM,08-02-2010,117.734222,117.801147,116.38623,116.520073,75.160164,5981551
IBM,09-02-2010,117.25621,118.738052,117.07457,117.791588,75.98037,6322547
IBM,10-02-2010,117.533463,118.212234,116.835564,117.40918,75.733673,5459179
IBM,11-02-2010,117.189293,118.738052,116.692162,118.288719,76.301033,5323094
IBM,12-02-2010,117.60038,118.594643,116.261948,118.546844,76.467545,8386514
IBM,16-02-2010,119.416824,119.722755,118.652008,119.722755,77.226059,7089056
IBM,17-02-2010,119.980881,120.965584,119.703636,120.774376,77.904381,6095460
IBM,18-02-2010,120.583176,122.370934,120.458893,122.189293,78.817039,5780091
IBM,19-02-2010,121.749519,122.428299,121.290634,121.596558,78.434723,6593043
IBM,22-02-2010,121.701721,121.826004,120.755257,121.271507,78.22506,3983273
IBM,23-02-2010,120.917786,122.045891,120.458893,120.898659,77.984558,4803127
IBM,24-02-2010,121.434036,122.629066,121.233269,121.978966,78.681374,5001972
IBM,25-02-2010,120.506691,121.644356,120.047798,121.481834,78.360741,5919000
