stock_symbol,date,open,high,low,close,adj_close,volume
MSFT,04-01-2010,30.620001,31.1,30.59,30.950001,23.683071,38409100
MSFT,05-01-2010,30.85,31.1,30.639999,30.959999,23.690725,49749600
MSFT,06-01-2010,30.879999,31.08,30.52,30.77,23.545338,58182400
MSFT,07-01-2010,30.629999,30.700001,30.190001,30.450001,23.300467,50559700
MSFT,08-01-2010,30.280001,30.879999,30.24,30.66,23.461161,51197400
MSFT,11-01-2010,30.709999,30.76,30.120001,30.27,23.162729,68754700
MSFT,12-01-2010,30.15,30.4,29.91,30.07,23.009691,65912100
MSFT,13-01-2010,30.26,30.52,30.01,30.35,23.223953,51863500
MSFT,14-01-2010,30.309999,31.1,30.26,30.959999,23.690725,63228100
MSFT,15-01-2010,31.08,31.24,30.709999,30.860001,23.614204,79913200
MSFT,19-01-2010,30.75,31.24,30.68,31.1,23.797857,46575700
MSFT,20-01-2010,30.809999,30.940001,30.309999,30.59,23.407598,54849500
MSFT,21-01-2010,30.610001,30.719999,30,30.01,22.963774,73086700
MSFT,22-01-2010,30,30.200001,28.84,28.959999,22.160309,102004600
MSFT,25-01-2010,29.24,29.66,29.1,29.32,22.435783,63373000
MSFT,26-01-2010,29.200001,29.85,29.09,29.5,22.573519,66639900
MSFT,27-01-2010,29.35,29.82,29.02,29.67,22.703611,63949500
MSFT,28-01-2010,29.84,29.870001,28.889999,29.16,22.313353,117513700
MSFT,29-01-2010,29.9,29.92,27.66,28.18,21.563454,193888500
MSFT,01-02-2010,28.389999,28.48,27.92,28.41,21.739447,85931100
MSFT,02-02-2010,28.370001,28.5,28.139999,28.459999,21.777719,54413700
MSFT,03-02-2010,28.26,28.790001,28.120001,28.629999,21.907795,61397900
MSFT,04-02-2010,28.379999,28.5,27.809999,27.84,21.30328,77850000
MSFT,05-02-2010,28,28.280001,27.57,28.02,21.441019,80960100
MSFT,08-02-2010,28.01,28.08,27.57,27.719999,21.211464,52820600
MSFT,09-02-2010,27.969999,28.34,27.75,28.01,21.433365,59195800
MSFT,10-02-2010,28.030001,28.24,27.84,27.99,21.418066,48591300
MSFT,11-02-2010,27.93,28.4,27.700001,28.120001,21.517542,65993700
MSFT,12-02-2010,27.809999,28.059999,27.58,27.93,21.372158,81117200
MSFT,16-02-2010,28.129999,28.370001,28.02,28.35,21.794983,51935600
MSFT,17-02-2010,28.530001,28.65,28.360001,28.59,21.979492,45882900
MSFT,18-02-2010,28.59,29.030001,28.51,28.969999,22.271631,42856500
MSFT,19-02-2010,28.790001,28.92,28.690001,28.77,22.117874,44451800
MSFT,22-02-2010,28.84,28.940001,28.65,28.73,22.087116,36707100
MSFT,23-02-2010,28.68,28.83,28.09,28.33,21.779612,52266200
MSFT,24-02-2010,28.52,28.790001,28.379999,28.629999,22.010244,43165900
MSFT,25-02-2010,28.27,28.65,28.02,28.6,21.987169,48735300
MSFT,26-02-2010,28.65,28.85,28.51,28.67,22.040995,40370600
MSFT,01-03-2010,28.77,29.049999,28.530001,29.02,22.31007,43805400
MSFT,02-03-2010,29.08,29.299999,28.24,28.459999,21.879551,93123900
MSFT,03-03-2010,28.51,28.610001,28.35,28.459999,21.879551,48442100
MSFT,04-03-2010,28.459999,28.65,28.27,28.629999,22.010244,42890600
MSFT,05-03-2010,28.66,28.68,28.42,28.59,21.979492,56001800
MSFT,08-03-2010,28.52,28.93,28.5,28.629999,22.010244,39414500
MSFT,09-03-2010,28.559999,29.110001,28.549999,28.799999,22.14094,50271600
MSFT,10-03-2010,28.860001,29.110001,28.799999,28.969999,22.271631,44891400
MSFT,11-03-2010,28.889999,29.190001,28.85,29.18,22.433073,35349700
MSFT,12-03-2010,29.32,29.379999,29.040001,29.27,22.502262,31700200
MSFT,15-03-2010,29.18,29.370001,29.01,29.290001,22.517637,37512000
MSFT,16-03-2010,29.42,29.49,29.200001,29.370001,22.579144,36723500
MSFT,17-03-2010,29.5,29.870001,29.4,29.629999,22.779024,50385700
MSFT,18-03-2010,29.629999,29.719999,29.5,29.610001,22.763647,43845200
MSFT,19-03-2010,29.76,29.9,29.35,29.59,22.74828,81332100
MSFT,22-03-2010,29.5,29.700001,29.389999,29.6,22.755959,37718200
MSFT,23-03-2010,29.59,29.9,29.41,29.879999,22.97122,42026600
MSFT,24-03-2010,29.719999,29.85,29.6,29.65,22.794401,33987700
MSFT,25-03-2010,29.83,30.57,29.799999,30.01,23.071161,73168700
MSFT,26-03-2010,30.09,30.200001,29.59,29.66,22.802088,55595500
MSFT,29-03-2010,29.709999,29.82,29.549999,29.59,22.74828,33336000
MSFT,30-03-2010,29.629999,29.860001,29.5,29.77,22.886652,34954800
MSFT,31-03-2010,29.639999,29.719999,29.17,29.290001,22.517637,63760000
MSFT,01-04-2010,29.35,29.540001,28.620001,29.16,22.417694,74768100
MSFT,05-04-2010,29.129999,29.43,29.030001,29.27,22.502262,34331200
MSFT,06-04-2010,29.15,29.58,28.98,29.32,22.540699,47366800
MSFT,07-04-2010,29.16,29.559999,29.139999,29.35,22.563763,58318800
MSFT,08-04-2010,29.32,29.98,29.299999,29.92,23.001974,63713800
MSFT,09-04-2010,29.950001,30.41,29.9,30.34,23.324858,54752500
MSFT,12-04-2010,30.25,30.49,30.209999,30.32,23.309486,37068800
MSFT,13-04-2010,30.15,30.5,30.129999,30.450001,23.409424,41374600
MSFT,14-04-2010,30.790001,31,30.66,30.82,23.693871,68941200
MSFT,15-04-2010,30.82,30.950001,30.709999,30.870001,23.732311,52745400
MSFT,16-04-2010,30.790001,30.98,30.6,30.67,23.57856,88703100
MSFT,19-04-2010,30.77,31.25,30.76,31.040001,23.86301,64970300
MSFT,20-04-2010,31.219999,31.440001,31.129999,31.360001,24.109016,52199500
MSFT,21-04-2010,31.33,31.5,31.23,31.33,24.085955,55343100
MSFT,22-04-2010,31.040001,31.530001,30.9,31.389999,24.132078,84847600
MSFT,23-04-2010,31.120001,31.58,30.65,30.959999,23.80151,126766600
MSFT,26-04-2010,31,31.280001,30.860001,31.110001,23.916828,63649300
MSFT,27-04-2010,30.950001,31.25,30.75,30.85,23.716938,68730900
MSFT,28-04-2010,30.92,31,30.620001,30.91,23.763069,64557900
MSFT,29-04-2010,30.93,31.43,30.67,31,23.832256,52665200
MSFT,30-04-2010,31.07,31.08,30.52,30.540001,23.478617,63214800
MSFT,03-05-2010,30.67,31.059999,30.58,30.860001,23.724632,43989500
MSFT,04-05-2010,30.52,30.549999,29.75,30.129999,23.16341,82085600
MSFT,05-05-2010,29.77,30.09,29.690001,29.85,22.948162,66833800
MSFT,06-05-2010,29.59,29.879999,27.91,28.98,22.27932,128613000
MSFT,07-05-2010,28.93,28.950001,27.32,28.209999,21.687349,173718100
MSFT,10-05-2010,29.01,29.48,28.709999,28.940001,22.24856,86653300
MSFT,11-05-2010,28.68,29.65,28.57,28.879999,22.202435,63789400
MSFT,12-05-2010,28.98,29.58,28.92,29.440001,22.632961,47146800
MSFT,13-05-2010,29.26,29.73,29.18,29.24,22.479204,45188800
MSFT,14-05-2010,29.200001,29.209999,28.639999,28.93,22.240881,63334000
MSFT,17-05-2010,29.120001,29.23,28.450001,28.940001,22.24856,46053300
MSFT,18-05-2010,28.870001,29,28.4,28.6,22.086395,52690600
MSFT,19-05-2010,28.52,28.690001,27.790001,28.24,21.808376,61746700
MSFT,20-05-2010,27.65,27.84,27.040001,27.110001,20.935734,87991100
MSFT,21-05-2010,26.629999,27.110001,26.440001,26.84,20.72723,117596300
MSFT,24-05-2010,26.85,26.860001,26.26,26.27,20.28705,73711700
MSFT,25-05-2010,25.65,26.33,25.379999,26.07,20.132593,98373600
MSFT,26-05-2010,26.23,26.610001,24.559999,25.01,19.314007,176684100
MSFT,27-05-2010,25.73,26.360001,25.73,26,20.078529,136433600
MSFT,28-05-2010,25.84,26.120001,25.66,25.799999,19.924084,67496900
MSFT,01-06-2010,25.530001,26.309999,25.52,25.889999,19.993593,76152400
MSFT,02-06-2010,26.059999,26.48,25.73,26.459999,20.433769,65718800
MSFT,03-06-2010,26.549999,26.93,26.41,26.860001,20.742676,67837000
MSFT,04-06-2010,26.1,26.57,25.620001,25.790001,19.916367,89832200
MSFT,07-06-2010,25.82,25.83,25.24,25.290001,19.530239,80456200
MSFT,08-06-2010,25.25,25.26,24.65,25.110001,19.391237,87355000
MSFT,09-06-2010,25.219999,25.52,24.75,24.790001,19.144115,87794000
MSFT,10-06-2010,25.129999,25.15,24.780001,25,19.306286,78930900
MSFT,11-06-2010,25.040001,25.719999,24.77,25.66,19.815975,68057700
MSFT,14-06-2010,25.860001,25.959999,25.469999,25.5,19.692408,50972400
MSFT,15-06-2010,25.75,26.65,25.74,26.58,20.526445,81641500
MSFT,16-06-2010,26.469999,26.58,26.23,26.32,20.325657,48698000
MSFT,17-06-2010,26.559999,26.67,26.040001,26.370001,20.364271,47995500
MSFT,18-06-2010,26.370001,26.530001,26.17,26.440001,20.418329,52075600
MSFT,21-06-2010,26.780001,26.889999,25.889999,25.950001,20.039921,54625300
MSFT,22-06-2010,26.16,26.450001,25.76,25.77,19.900919,55985400
MSFT,23-06-2010,25.780001,25.780001,25.219999,25.309999,19.545681,61466200
MSFT,24-06-2010,25.459999,25.719999,24.93,25,19.306286,85243400
MSFT,25-06-2010,25.049999,25.110001,24.309999,24.530001,18.943323,156256700
MSFT,28-06-2010,24.51,24.610001,24.120001,24.309999,18.773434,73784800
MSFT,29-06-2010,24.129999,24.200001,23.110001,23.309999,18.001181,119882100
MSFT,30-06-2010,23.299999,23.68,22.950001,23.01,17.76951,81050500
MSFT,01-07-2010,23.09,23.32,22.73,23.16,17.885338,92239400
MSFT,02-07-2010,23.360001,23.48,23.049999,23.27,17.970297,62485100
