stock_symbol,date,open,high,low,close,adj_close,volume
ORCL,04-01-2010,24.66,25.190001,24.66,24.85,20.751328,26795000
ORCL,05-01-2010,24.719999,24.85,24.35,24.82,20.726269,28669900
ORCL,06-01-2010,24.77,24.92,24.379999,24.459999,20.425653,24560700
ORCL,07-01-2010,24.459999,24.610001,24.08,24.379999,20.35885,30469700
ORCL,08-01-2010,24.280001,24.75,24.25,24.68,20.609364,23542400
ORCL,11-01-2010,24.690001,24.799999,24.370001,24.690001,20.617716,19002400
ORCL,12-01-2010,24.559999,24.610001,24.309999,24.559999,20.509159,26204600
ORCL,13-01-2010,24.629999,24.99,24.549999,24.799999,20.70957,24912300
ORCL,14-01-2010,25.129999,25.58,25.049999,25.34,21.20326,44685200
ORCL,15-01-2010,25.469999,25.639999,24.99,25.24,21.119583,42296200
ORCL,19-01-2010,25.32,25.5,25.120001,25.33,21.194893,22732200
ORCL,20-01-2010,25.049999,25.129999,24.51,25.059999,20.968971,39971500
ORCL,21-01-2010,25.190001,25.540001,24.59,24.83,20.776512,41756100
ORCL,22-01-2010,24.940001,25.049999,24.110001,24.15,20.207521,33681500
ORCL,25-01-2010,24.24,24.27,23.82,24.030001,20.107115,26366600
ORCL,26-01-2010,23.93,24.129999,23.700001,23.879999,19.981604,28746000
ORCL,27-01-2010,23.9,24.049999,23.540001,23.860001,19.964867,28819300
ORCL,28-01-2010,24.08,24.18,23.290001,23.469999,19.638542,41245700
ORCL,29-01-2010,23.65,23.83,22.98,23.059999,19.295464,49957800
ORCL,01-02-2010,23.360001,23.379999,22.860001,23.219999,19.429346,29572800
ORCL,02-02-2010,23.33,23.85,23.24,23.76,19.881195,32150600
ORCL,03-02-2010,23.75,23.84,23.52,23.75,19.872828,23101100
ORCL,04-02-2010,23.610001,23.780001,23.1,23.110001,19.337311,33254900
ORCL,05-02-2010,23.35,23.67,23.07,23.549999,19.705473,45919600
ORCL,08-02-2010,23.540001,23.65,23.1,23.120001,19.345671,32929200
ORCL,09-02-2010,23.469999,23.719999,23.25,23.51,19.672007,34084100
ORCL,10-02-2010,23.51,23.610001,22.92,23.110001,19.337311,40139200
ORCL,11-02-2010,23.059999,23.51,22.83,23.35,19.538134,28159000
ORCL,12-02-2010,23.110001,23.5,22.969999,23.41,19.588327,33657700
ORCL,16-02-2010,23.690001,23.85,23.440001,23.809999,19.923027,21582200
ORCL,17-02-2010,23.950001,24.280001,23.940001,24.18,20.23263,26147200
ORCL,18-02-2010,24.110001,24.57,24.059999,24.52,20.517122,31679100
ORCL,19-02-2010,24.41,24.540001,24.18,24.32,20.349771,25941000
ORCL,22-02-2010,24.59,24.98,24.440001,24.809999,20.759777,37081800
ORCL,23-02-2010,24.809999,24.889999,24.379999,24.48,20.48365,25098300
ORCL,24-02-2010,24.629999,24.83,24.459999,24.77,20.726297,24530400
ORCL,25-02-2010,24.450001,24.9,24.209999,24.870001,20.809982,29145200
ORCL,26-02-2010,24.959999,24.959999,24.540001,24.65,20.625898,21048700
ORCL,01-03-2010,24.6,24.91,24.540001,24.74,20.701208,19744300
ORCL,02-03-2010,24.790001,24.950001,24.52,24.58,20.567326,23535000
ORCL,03-03-2010,24.51,24.690001,24.4,24.5,20.500389,20726400
ORCL,04-03-2010,24.469999,24.860001,24.280001,24.76,20.717937,20925500
ORCL,05-03-2010,24.860001,25,24.84,24.950001,20.876923,19312900
ORCL,08-03-2010,24.969999,24.969999,24.68,24.700001,20.667742,16843600
ORCL,09-03-2010,24.6,25.1,24.559999,24.879999,20.81835,21835800
ORCL,10-03-2010,24.790001,25.02,24.68,24.870001,20.809982,23095900
ORCL,11-03-2010,24.799999,25.25,24.799999,25.139999,21.035912,24214600
ORCL,12-03-2010,25.120001,25.190001,24.73,25.049999,20.960596,35344700
ORCL,15-03-2010,24.92,25.379999,24.879999,25.280001,21.153051,22025300
ORCL,16-03-2010,25.379999,25.41,24.9,25.209999,21.094481,25478300
ORCL,17-03-2010,25.23,25.700001,25.139999,25.469999,21.312031,30309400
ORCL,18-03-2010,25.43,25.6,25.27,25.379999,21.236725,29185800
ORCL,19-03-2010,25.549999,25.73,24.950001,25.190001,21.077749,45881000
ORCL,22-03-2010,25.190001,25.700001,25.16,25.559999,21.387342,24945500
ORCL,23-03-2010,25.67,26,25.540001,25.99,21.747149,25834200
ORCL,24-03-2010,25.98,26,25.700001,25.76,21.554689,28837000
ORCL,25-03-2010,25.950001,26.25,25.719999,26.040001,21.788988,54350900
ORCL,26-03-2010,25.700001,26,25.370001,25.690001,21.496119,58562200
ORCL,29-03-2010,25.65,25.85,25.41,25.57,21.395712,28975300
ORCL,30-03-2010,25.48,25.58,25.219999,25.540001,21.370611,29819400
ORCL,31-03-2010,25.33,25.790001,25.299999,25.709999,21.512854,27196400
ORCL,01-04-2010,25.780001,25.950001,25.190001,25.459999,21.303665,26562700
ORCL,05-04-2010,25.51,25.74,25.35,25.58,21.404076,19390200
